"filename", "language", "Dart", "comment", "blank", "total"
"f:\RightCode\right_code_app\lib\dep_injection.dart", "Dart", 13, 6, 8, 27
"f:\RightCode\right_code_app\lib\main.dart", "Dart", 30, 0, 6, 36
"f:\RightCode\right_code_app\lib\src\app\main_page\main_page.dart", "Dart", 103, 1, 6, 110
"f:\RightCode\right_code_app\lib\src\app\main_page\widgets\bottom_nav_item.dart", "Dart", 48, 2, 6, 56
"f:\RightCode\right_code_app\lib\src\app\main_page\widgets\custom_logo_app_bar.dart", "Dart", 20, 0, 3, 23
"f:\RightCode\right_code_app\lib\src\app\main_page\widgets\custom_return_app_bar.dart", "Dart", 35, 0, 3, 38
"f:\RightCode\right_code_app\lib\src\app\main_page\widgets\my_logo.dart", "Dart", 6, 0, 2, 8
"f:\RightCode\right_code_app\lib\src\app\refrigerator\application\fridge_controller.dart", "Dart", 146, 5, 14, 165
"f:\RightCode\right_code_app\lib\src\app\refrigerator\application\fridge_form_provider.dart", "Dart", 26, 0, 2, 28
"f:\RightCode\right_code_app\lib\src\app\refrigerator\application\fridge_provider.dart", "Dart", 11, 1, 3, 15
"f:\RightCode\right_code_app\lib\src\app\refrigerator\application\pagination\refrigerator_pagination_provider.dart", "Dart", 87, 9, 16, 112
"f:\RightCode\right_code_app\lib\src\app\refrigerator\data\refrigerator_repository.dart", "Dart", 97, 0, 14, 111
"f:\RightCode\right_code_app\lib\src\app\refrigerator\domain\fridge_category\fridge_category_model.dart", "Dart", 12, 0, 4, 16
"f:\RightCode\right_code_app\lib\src\app\refrigerator\domain\fridge_category\fridge_category_model.freezed.dart", "Dart", 130, 15, 26, 171
"f:\RightCode\right_code_app\lib\src\app\refrigerator\domain\fridge_category\fridge_category_model.g.dart", "Dart", 13, 4, 5, 22
"f:\RightCode\right_code_app\lib\src\app\refrigerator\domain\fridge_model\fridge_model.dart", "Dart", 21, 0, 4, 25
"f:\RightCode\right_code_app\lib\src\app\refrigerator\domain\fridge_model\fridge_model.freezed.dart", "Dart", 322, 15, 26, 363
"f:\RightCode\right_code_app\lib\src\app\refrigerator\domain\fridge_model\fridge_model.g.dart", "Dart", 27, 4, 5, 36
"f:\RightCode\right_code_app\lib\src\app\refrigerator\presentation\add_edit_item_refrigerator_page.dart", "Dart", 346, 6, 10, 362
"f:\RightCode\right_code_app\lib\src\app\refrigerator\presentation\my_refrigerator_page.dart", "Dart", 148, 0, 6, 154
"f:\RightCode\right_code_app\lib\src\app\refrigerator\presentation\widgets\refrigerator_item_widget.dart", "Dart", 126, 0, 3, 129
"f:\RightCode\right_code_app\lib\supabase\supabase_api.dart", "Dart", 5, 0, 1, 6
"f:\RightCode\right_code_app\lib\supabase\supabase_storage_api.dart", "Dart", 42, 68, 5, 115
"f:\RightCode\right_code_app\lib\theme\theme.dart", "Dart", 305, 6, 17, 328
"f:\RightCode\right_code_app\lib\utils\context_extantions.dart", "Dart", 5, 0, 2, 7
"f:\RightCode\right_code_app\lib\utils\loading_state_class.dart", "Dart", 29, 2, 5, 36
"f:\RightCode\right_code_app\lib\utils\prints.dart", "Dart", 31, 0, 7, 38
"f:\RightCode\right_code_app\lib\utils\supabase_exceptions.dart", "Dart", 76, 1, 5, 82
"f:\RightCode\right_code_app\lib\widgets\box_button.dart", "Dart", 163, 7, 13, 183
"f:\RightCode\right_code_app\lib\widgets\custom_chips.dart", "Dart", 37, 0, 3, 40
"f:\RightCode\right_code_app\lib\widgets\image_widgets.dart", "Dart", 77, 0, 5, 82
"f:\RightCode\right_code_app\lib\widgets\loading_progress.dart", "Dart", 22, 0, 3, 25
"f:\RightCode\right_code_app\lib\widgets\pagination\base_pagination_list_view.dart", "Dart", 66, 0, 5, 71
"f:\RightCode\right_code_app\lib\widgets\pagination\base_pagination_provier.dart", "Dart", 151, 2, 22, 175
"f:\RightCode\right_code_app\lib\widgets\rounded_date_picker.dart", "Dart", 25, 0, 2, 27
"f:\RightCode\right_code_app\lib\widgets\show_dialog.dart", "Dart", 192, 10, 8, 210
"f:\RightCode\right_code_app\lib\widgets\text_field.dart", "Dart", 168, 3, 7, 178
"f:\RightCode\right_code_app\lib\widgets\text_input_decaration.dart", "Dart", 39, 0, 2, 41
"f:\RightCode\right_code_app\lib\widgets\text_widget.dart", "Dart", 58, 0, 7, 65
"Total", "-", 3258, 167, 291, 3716